Hugo_Symbol	Entrez_Gene_Id	P01_Pri	P01_Rec	P02_Pri	P02_Rec	P04_Pri	P04_Rec1	P04_Rec2	P04_Rec3	P05_Pri	P05_Rec	P06_Pri	P06_Rec	P07_Pri	P07_Rec	P08_Pri	P08_Rec	P09_Pri	P09_Rec	P10_Pri	P10_Rec	P11_Pri	P11_Rec	P12_Pri	P12_Rec	P13_Pri	P13_Rec	P15_Pri	P15_Rec	P16_Pri	P16_Rec	P17_Pri_A	P17_Pri_B	P17_Pri_C	P17_Rec1_A	P17_Rec1_B	P17_Rec1_C	P17_Rec1_D	P18_Pri_A	P18_Pri_B	P18_Pri_C	P18_Pri_D	P18_Rec	P21_Pri	P21_Rec	P24_Pri	P24_Rec1	P24_Rec2	P25_Pri	P25_Rec	P26_Pri_A	P26_Pri_B	P26_Rec1_A	P26_Rec1_B	P27_Pri_A	P27_Pri_B	P27_Rec1_A	P27_Rec1_B	P28_Pri	P28_Rec	P29_Pri	P29_Rec
ARL13B	200894	344.4514	392.3395	239.4464	321.5093	211.827	196.44	230.3813	265.9752	350.633	265.3578	394.1532	353.6842	477.396	200.8792	250.1271	213.4216	237.7957	298.2531	98.7711	219.8422	181.7252	312.4741	103.4483	227.2765	300.6935	255.5283	192.7636	412.8244	318.2735	224.7802	257.1727	249.0337	240.9316	232.291	275.3346	210.3889	319.8102	281.6444	288.1192	328.0944	374.965	241.3648	562.0363	236.4341	256.1455	281.1661	228.7687	236.2345	142.2267	159.8789	288.45	210.9479	201.7595	164.8912	317.5632	223.7894	320.6812	235.1754	302.5982	288.5975	149.389
ARL14	80117	0	0	0	0	0	0	0	0	0	0	0	0	1.085	0	0	0	0	0	0	0	0	0	0.5747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL15	54622	101.9509	165.2864	173.3564	139.2338	93.8091	228.5714	188.0169	207.0927	226.9673	295.1147	199.2608	117.3994	226.4014	127.166	461.6167	164.6159	138.9209	220.196	532.9995	186.7719	230.4807	185.661	36.2069	166.2918	208.5992	127.4131	225.614	196.5986	131.9414	164.9763	143.975	113.7493	241.467	121.2508	167.782	206.7299	241.9929	253.8767	208.6381	153.1417	124.6406	139.8484	337.632	193.314	133.7266	141.542	100.5719	315.2753	85.7395	98.2057	193.8959	90.7877	64.5161	113.0153	323.72	115.0917	418.8785	171.6144	232.5729	154.3214	67.4024
ARL16	339231	999.3707	436.5079	506.5744	640.4101	631.9506	414.4226	554.771	560.0535	569.4546	463.5325	605.1747	630.5882	409.7649	424.6051	609.0493	638.1967	365.0217	481.6361	746.9276	465.9902	410.8421	452.5487	1634.4828	500.5415	497.8271	546.1565	538.6225	522.7364	526.362	521.1483	324.987	639.9779	468.4781	481.8124	461.2811	596.4067	614.9466	541.6516	475.7831	652.9404	450.5838	615.417	905.0015	570.2519	733.0383	525.5082	412.647	646.9805	798.8904	531.0963	562.9364	638.1842	496.1877	651.6906	593.0006	667.9831	542.4404	572.0482	459.1255	745.5207	1279.0698
ARL17A	51326	44.141	37.9641	40.6471	79.9143	44.0045	86.817	30.5064	78.9562	34.6893	105.3118	76.8683	59.2446	69.0814	36.5548	66.3887	48.1894	72.8413	119.908	60.7647	50.2067	54.2789	44.6871	41.7414	52.8035	41.154	79.2348	74.4898	78.1978	107.2585	44.4493	60.9911	39.3816	85.1827	76.3944	47.6243	37.6688	63.5255	53.7901	47.5949	87.8616	49.0792	54.781	116.3333	115.0097	34.1691	101.5228	33.8578	93.6412	42.7487	44.9782	37.2232	22.8571	45.0381	41.6952	118.8626	56.1768	52.9287	24.3588	33.1812	128.3257	87.1462
ARL17B	641522	4.527	1.47	0.8754	4.0303	0	2.0557	3.2036	3.175	3.1176	1.1657	2.5672	5.7709	1.8047	3.4443	6.2905	1.915	3.3632	3.2484	0.9786	1.071	1.5956	0.4724	0	3.3992	2.9108	6.3075	2.1911	2.1361	4.2284	2.2183	5.0548	2.9542	1.7186	0.6573	3.7094	2.4927	2.2396	2.4666	0.6568	1.188	1.2777	0	1.3251	3.8857	0	3.6901	0.9151	1.1279	0.5094	1.7206	1.7475	1.1749	3.3021	2.5614	4.2741	0	4.475	1.948	1.7364	1.4306	1.3362
ARL1	400	1522.9704	1675.9834	1165.7439	958.0065	1710.2509	1183.7517	961.8721	1267.9826	1465.8457	1185.367	1733.1989	1258.2043	1415.1899	1149.6668	1056.0922	1140.3164	1130.5041	944.5249	2312.244	1153.3258	1574.1562	1136.7592	1229.3103	999.4168	1364.7712	1453.1415	1147.9042	1347.0767	1158.6981	1423.8042	1005.7381	1140.8062	990.4966	1074.0268	907.7438	921.5947	1294.4247	1257.1223	1164.6198	1472.0163	2062.568	1196.2932	1275.4532	1047.9651	1105.703	1116.6091	1189.1659	1354.7957	1115.6222	796.6445	1085.5775	905.652	921.4076	1338.1195	1045.6902	1594.7344	1088.5044	1216.6305	1110.2662	1495.7095	1191.959
ARL2BP	23568	2070.4846	3279.8482	2941.5225	2023.6176	2072.8786	2158.2839	1615.0898	1687.5209	2665.1067	1733.5685	2689.1801	2121.1146	2493.6709	1724.7158	2284.6975	3021.8178	1885.7092	1854.2821	1472.9176	1475.3852	1849.3011	1933.2781	2621.8391	1652.5869	1422.8387	2163.2152	2266.3671	1866.869	1581.8931	1497.4543	1699.0089	2118.7189	1795.7435	1403.9566	1583.652	2011.0431	1576.2752	1707.1763	1681.2474	1562.045	3017.9725	1551.8113	1867.4374	1821.7054	1748.7709	1831.9908	1302.687	1817.4956	1703.19	1018.1965	1614.602	1316.4219	1323.7537	1560.9078	1934.2191	1813.2581	2599.1485	2082.5544	2094.4233	2517.7456	3204.9665
ARL2	402	1623.6627	1396.4803	1640.4844	1466.3891	1234.1445	1005.5682	1063.1874	835.0619	719.4085	2241.5829	1258.0645	915.1554	1147.9204	2010.516	1605.8295	2053.1486	1546.2426	654.4525	2058.2613	1217.9632	1881.3502	1645.6693	2947.7011	2047.1549	1677.3	1467.8835	1344.3868	1039.2576	1109.2201	1639.1571	1551.0694	2092.7664	856.6457	968.7301	887.1893	1404.5744	984.5789	873.0617	1161.8601	1084.9855	1191.1265	1700.5055	968.5896	845.4457	1465.0934	1596.8546	2518.6144	1016.8739	2164.1659	1458.9436	1855.3321	1462.3943	2362.4633	2218.1566	840.2463	2049.4593	2624.1507	1253.2715	1030.6654	1960.8705	3374.0639
ARL3	403	2404.4472	804.6929	1695.5017	1706.9993	2077.9221	1368.5075	1524.7125	2010.0368	1065.9686	1084.7458	776.2097	759.8762	690.4159	2026.4656	669.3781	1490.6421	1971.1172	1592.5011	2119.2535	1792.935	1784.8619	2027.7663	2475.8621	2065.4836	1245.3074	980.344	1649.6475	1931.3115	2339.8544	1616.4729	2135.1069	1773.0536	1717.0392	1662.4123	1544.4551	1561.9086	1017.3191	1523.26	1855.6644	1444.1723	1308.9876	1722.8307	1893.2828	1780.5233	1807.7679	1708.4772	1769.2889	1565.7194	2585.2982	1515.9029	1730.3012	2390.7432	2380.6452	1448.8189	1074.2061	2299.2008	1423.3173	2101.6227	1809.2522	559.0719	1541.1904
ARL4A	10124	367.9463	613.5266	940.8304	607.8026	450.3846	672.9347	393.7866	1056.2061	419.1304	716.6194	444.2204	263.5294	980.4702	322.4412	255.211	552.5799	571.6311	1571.7086	504.7792	1049.2296	687.6918	380.0249	2685.0575	788.8028	327.693	1220.4282	2584.644	293.4259	307.0445	308.1521	640.5842	1830.4804	378.5303	426.9304	404.8757	1082.1306	424.6738	653.8045	227.4044	456.6406	314.9914	914.4903	1145.4054	2145.8333	342.6745	2041.0433	451.0629	815.7194	274.3664	351.1835	487.9314	219.8487	208.7977	241.7786	1051.199	568.3122	498.5959	504.7484	3147.9721	405.0251	689.7911
