Composite.Element.REF	P01_Pri	P01_Rec	P02_Pri	P02_Rec	P04_Pri	P04_Rec1	P04_Rec2	P04_Rec3	P05_Pri	P05_Rec	P06_Pri	P06_Rec	P07_Pri	P07_Rec	P08_Pri	P08_Rec	P09_Pri	P09_Rec	P10_Pri	P10_Rec	P11_Pri	P11_Rec	P12_Pri	P12_Rec	P13_Pri	P13_Rec	P15_Pri	P15_Rec	P16_Pri	P16_Rec	P17_Pri_A	P17_Pri_B	P17_Pri_C	P17_Rec1_A	P17_Rec1_B	P17_Rec1_C	P17_Rec1_D	P18_Pri_A	P18_Pri_B	P18_Pri_C	P18_Pri_D	P18_Rec	P21_Pri	P21_Rec	P24_Pri	P24_Rec1	P24_Rec2	P25_Pri	P25_Rec	P26_Pri_A	P26_Pri_B	P26_Rec1_A	P26_Rec1_B	P27_Pri_A	P27_Pri_B	P27_Rec1_A	P27_Rec1_B	P28_Pri	P28_Rec	P29_Pri	P29_Rec
CLDN7|Claudin-7	0.4299110695	-0.106082255	-0.2072355795	0.0908949695000001	0.0336950450000001	0.00562253100000021	-0.1335989125	0.0109541115	0.192044943	0.159046058	0.0434756065	-0.0271442374999999	-0.118752048999999	-0.1090198095	0.049677194	0.028435501	0.1188400085	-0.142122288	-0.0491928165	-0.1470332225	0.0938577225	-0.11316087	0.0207060045000001	-0.0342825804999999	0.0237482310000001	0.0289176360000001	-0.0690181324999999	0.00180016700000007	0.00657631450000007	-0.1874572545	-0.131266235	-0.0946427139999999	-0.162881855	-0.1981450585	0.159981939	0.0294281739999998	0.088618117	0.141999329	-0.101406651	-0.08908925	0.080487051	0.041804239	0.025553303	-0.05909327	-0.04165883	0.0567245080000001	-0.0817105029999999	0.00777763000000004	-0.054011187	-0.00306823100000003	-0.287407994	-0.166648002	-0.132714802	-0.0477057335	-0.0583856144999999	0.00530340800000006	0	0.021165444	-0.258422981	0.0499103639999998	-0.157299586
COL6A1|Collagen_VI	1.934832597	0.2899337575	-0.317102712	0.233409835	-0.0947300944999999	0.1106949025	-0.281391002	0.967405491	-0.4373043695	0.3966724765	0.247788036	0.181676323	-0.0229980794999989	-0.06246929	0.5015292045	-0.4158864225	-0.0372837359999998	-0.2306352485	-0.124422363	-0.0273598309999998	-0.175181981	-0.1456493845	-0.350074144	0.497598387	-0.6092698815	0.1364201795	0.218747516	-0.1764446305	0.381973575	-0.336177062	-0.1950330935	0.2547110235	0.3096248405	0.0588125880000003	-0.0331598015	0.785137728	-0.009835233	0.076640518	0.00958057799999999	0.036189782	-0.131744835	-0.071829577	-0.074964833	0.129774876	-0.247049193	0.478745522	0.14604815	0.074103404	-0.017409461	0.277002144	0.1748009235	1.3996125435	0.2151192675	-0.0587846939999999	-0.268148645	0.353763412	-0.115659928	-0.224955784	-0.113142771	-0.0425490760000002	-0.4057958525
CCNB1|Cyclin_B1	0.0710460944999998	0.278925975	1.2428846275	0.00525859150000019	0.061290729	0.206216418	0.0421980605000001	0.0126750385	0.206824278	-0.205981153	0.2987074365	0.2837463155	0.179974800000001	-0.1202177295	-0.31182533	-0.00779448999999999	-0.0587587554999999	-0.0312230940000002	0.1938658205	0.2377443295	-0.0755357345	1.359017254	0.0978301185000001	-0.1068460025	0.269286171	0.297608136	-0.0370981264999999	0.1110116	-0.2233019985	0.0401730525	0.0223867169999999	0.455601894	-0.238148322	0.00055321850000023	-0.138338641	-0.417274662	-0.200117085	0.327630813	-0.0841756649999999	-0.138611092	0.292934859	-0.195331953	-0.079082347	-0.484590116	-0.0719240609999999	-0.0902932419999998	0.0763649230000002	0.037538915	-0.034611722	-0.353728973	0.903799168	0.0406171669999997	0.431099379	0.00228953550000011	0.0120757125000001	-0.0339086559999999	-0.0443861199999999	0.233039001	0.115809148	0.215628271	0.802118143
CCND1|Cyclin_D1	1.978694461	0.6178343395	0.28825853	-1.421358866	1.2944740755	-0.4338239615	-1.330048879	-1.501123695	0.2552010425	1.7146792825	2.100138169	0.0394455559999998	-1.4862618105	-0.231716456	1.2413749275	0.0442782904999998	-0.82571064	2.1983571835	-0.762676251	-0.168373744	-0.0209920600000003	-1.3040330695	0.954406179	1.018565118	-1.1200065885	-0.5034676755	-0.290250359	0.2323331415	1.183154852	0.941380072	0.2943161365	1.1147786705	-0.2441686675	-1.466097887	0.5780150195	0.319755879	0.597769709	-0.71660398	0.978426998	-0.381243862	-0.783242119	0.3803002	1.706605825	-0.213714663	0.878373207	-0.465520912	-0.443555986	0.829066656	1.789219548	0.755972107	-0.4312475695	-0.2452531445	-0.1958575355	1.192314466	1.107814047	-0.31793096	0.254431977	1.005819764	-0.073070618	0.946959426	1.2639077105
CCNE1|Cyclin_E1	0.1050822705	0.260863928	-0.0519361245	0.0401130885000001	-0.216390003	0.159932236	0.1567420915	-0.0198973075	0.276138873	0.14182274	0.0436528875000001	-0.1802322085	-0.106788986999999	0.0814352924999999	-0.358244415	0.014867361	0.3163039635	0.0271112999999997	-0.0932877705	0.5252779675	-0.0982318145000001	0.418534443	0.1805852555	-0.1601970665	0.340066742	0.116898951	0.1958384525	0.112585421	0.0812732815	0.2599411905	0.27902052	0.310790632	-0.106196523	-0.0522917864999999	-0.181233167	-0.292649674	0.0453568130000001	0.182144571	-0.054830573	0.042186514	0.092094427	-0.069588983	-0.0540886489999999	-0.097957204	-0.063697629	0.0605177690000002	0.151917253	0.032599671	-0.083586914	-0.138607553	0.0691456320000001	-0.0589599720000002	0.409227	0.1260659035	0.0931240845	-0.199548682	-0.017910491	0.00754935300000004	-0.109483636	0.00621872099999976	1.196514745
CCNE2|Cyclin_E2	0.331860674	-0.0638668465000001	0.189370379	-0.00168609499999972	0.0101838165000001	0.1576057715	0.0876129100000002	-0.163202119	-0.2227915885	-0.1467339975	-0.190962143	-0.032292974	-0.0630076854999988	-0.060300085	-0.1395185325	0.1271349855	0.0225885600000002	-0.1026406485	-0.00367132899999993	0.0368427320000001	0.095238764	0.1843802385	0.150217744	-0.0566752569999999	0.1427703925	0.1548478585	-0.0790979569999998	0.3128548455	-0.0227679249999998	-0.0605562119999999	0.1020306175	0.00201197550000032	-0.0392829744999998	-0.0130266959999997	0.3618638575	-0.36835257	0.014934756	-0.120127269	0.055232885	-0.036326108	-0.023829292	0.143782167	-0.161057674	0.0618849270000001	-0.111866723	-0.00439421899999992	-0.0621969079999999	-0.058778056	-0.204359595	-0.089773016	-0.1789518065	0.0810671694999998	-0.1943511825	-0.104153608	0.0699274310000001	0.20269264	0.0702889150000001	-0.090462321	-0.066269827	-0.0501119010000002	0.3107244165
PARK7|DJ-1	0.714737898	0.1081249795	0.073494455	0.949009898	-0.1074990435	0.2412804485	-0.303341731	-0.628067101	0.4564314385	0.2781610175	0.275541149	0.130793707	0.092700854500001	-0.255176322	0.9121147595	-0.2365948655	-0.116178496	0.4639872035	-0.345711463	-0.0316232220000001	-0.0812761340000002	-0.0336902534999999	-0.264563085	0.0183434389999999	0.2258787635	-0.2640528705	0.35384	-0.3850048065	0.225063941	0.0119798699999999	-0.0907341395000002	0.2707854135	0.2991561845	-0.571179174	-0.0676690384999999	0.318358879	-0.036916159	-0.184614708	0.025157821	-0.12830147	-0.040256023	-0.103781515	0.197137321	-0.123787162	0.074286519	0.417885776	0.076934765	0.339763252	0.490984328	0.326144196	-0.0746015755	0.3138102745	0.2186283785	0.398881569	-0.179427304	0.447497582	0.17573613	-0.02136572	0.083031831	0.0594923499999998	0.1486294645
DIRAS3|Di-Ras3	-0.0949257125000016	-0.232441211000002	-0.0807986665000006	0.1862530575	-0.298269783000001	-0.0782344510000015	-0.0178202224999998	0.333040138499999	-0.0497209540000007	-0.0124966150000005	-0.0272946845000014	-0.0526916875000014	0	-0.0470137295	-0.0417772150000013	-0.228954879	-0.0614512344999998	-0.307885327000001	-0.0376631655000004	-0.157116633500001	-0.237163267500001	-0.247411352000001	-0.1273805105	0.119435112499998	-0.0555657280000013	-0.0490655250000001	-0.0592977075000013	-0.0584646950000014	-0.2079143735	-0.236434588500002	0.0359503579999995	-0.00762979800000019	-0.150620608	-0.3461345705	-0.0345513130000014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0269199080000009	-0.0254835490000009	0.0175490329999988	-0.102156562500001	-0.218060316500001	NA	NA	NA	NA	NA	-0.137482002000001
DVL3|Dvl3	-0.4223175405	0.177009897	0.00519239650000003	-0.5697408905	0.00865168600000005	-0.510527983	0.3714797555	-0.4778154315	-0.092596258	0.0809441629999999	-0.1932646465	-0.2615238545	0.429011634000001	0.0406148864999999	-0.071450638	0.149753229	-0.0929273194999999	0.161018783	-0.0901160775	0.0351012505	-0.0139978455000001	-0.142969688	0.2869728565	-0.1703222665	0.284959459	-0.00766544700000005	0.4326064285	-0.167412667	-0.1469476835	0.1354982385	-0.00802512700000008	0.345372123	0.202885819	0.4615371555	-0.179261081	-0.338928828	-0.088683946	-0.014869697	0.067123334	0.154268573	0.014438361	-0.088462905	0.048398284	0.142290749	0.027003358	-0.248505646	0.092101476	-0.049239623	0.0216883970000001	0.100930888	0.297735005	0.295957201	-0.025647817	-0.1464316115	0.0670017225	-0.144265938	-0.0691590239999999	-0.088674719	-0.022775377	0.0787533849999998	0.299511869
CDH1|E-Cadherin	0.778014654	2.3210713755	0.861048361	-0.332983778	-0.1626492075	0.1339373095	0.191240367	0.932565373	0.0881315085000002	-0.6712624545	0.830598573	0.477311321	0.730119618500001	0.0493453550000002	-0.1565402655	-0.0504995364999999	0.130074328	0.0548756054999999	-0.334130183	0.969550665	0.220098933	0.9147001585	0.18295181	-0.354033772	0.5144900375	-0.0523722984999999	1.34541915	0.4585547955	-0.0577293009999996	0.43147574	0.1992266405	0.9119301625	0.0498616865000003	-0.0761130599999995	-0.1704711995	-0.93618638	-0.31563741	0.718017969	-0.414201208	-0.0242109219999999	0.783652128	-0.0940393509999999	0.150083504	-0.664919193	0.179714408	-0.933425172	0.0799235230000001	0.0630996890000001	-0.019023748	-0.0022701080000001	0.0117204825000004	0.1712499835	1.9163642915	0.420854914	0.532252562	-1.038190857	0.533837842	0.670820329	-0.0751132369999999	0.407295938	-0.5868570135
